,Time,Values
465,0.2325,1.314760508
466,0.233,1.304985337
467,0.2335,1.300097752
468,0.234,1.295210166
469,0.2345,1.275659824
470,0.235,1.256109482
471,0.2355,1.295210166
472,0.236,1.33431085
473,0.2365,1.33431085
474,0.237,1.339198436
475,0.2375,1.348973607
476,0.238,1.348973607
477,0.2385,1.348973607
478,0.239,1.363636364
479,0.2395,1.373411535
480,0.24,1.373411535
481,0.2405,1.358748778
482,0.241,1.319648094
483,0.2415,1.270772239
484,0.242,1.231671554
485,0.2425,1.212121212
486,0.243,1.202346041
487,0.2435,1.197458456
488,0.244,1.19257087
489,0.2445,1.202346041
490,0.245,1.221896383
491,0.2455,1.23655914
492,0.246,1.231671554
493,0.2465,1.241446725
494,0.247,1.246334311
495,0.2475,1.246334311
496,0.248,1.231671554
497,0.2485,1.212121212
498,0.249,1.226783969
499,0.2495,1.226783969
500,0.25,1.207233627
501,0.2505,1.197458456
502,0.251,1.187683284
503,0.2515,1.163245357
504,0.252,1.1485826
505,0.2525,1.124144673
506,0.253,1.094819159
507,0.2535,1.10459433
508,0.254,1.133919844
509,0.2545,1.153470186
510,0.255,1.1485826
511,0.2555,1.143695015
512,0.256,1.143695015
513,0.2565,1.153470186
514,0.257,1.168132942
515,0.2575,1.177908113
516,0.258,1.187683284
517,0.2585,1.187683284
518,0.259,1.177908113
519,0.2595,1.173020528
520,0.26,1.173020528
521,0.2605,1.168132942
522,0.261,1.153470186
523,0.2615,1.1485826
524,0.262,1.1485826
525,0.2625,1.173020528
526,0.263,1.212121212
527,0.2635,1.226783969
528,0.264,1.246334311
529,0.2645,1.256109482
530,0.265,1.241446725
531,0.2655,1.226783969
532,0.266,1.217008798
533,0.2665,1.197458456
534,0.267,1.19257087
535,0.2675,1.217008798
536,0.268,1.23655914
537,0.2685,1.231671554
538,0.269,1.217008798
539,0.2695,1.212121212
540,0.27,1.226783969
541,0.2705,1.256109482
542,0.271,1.28054741
543,0.2715,1.295210166
544,0.272,1.285434995
545,0.2725,1.260997067
546,0.273,1.246334311
547,0.2735,1.251221896
548,0.274,1.275659824
549,0.2745,1.309872923
550,0.275,1.304985337
551,0.2755,1.28054741
552,0.276,1.28054741
553,0.2765,1.28054741
554,0.277,1.256109482
555,0.2775,1.265884653
556,0.278,1.295210166
557,0.2785,1.309872923
558,0.279,1.324535679
559,0.2795,1.329423265
560,0.28,1.33431085
561,0.2805,1.353861193
562,0.281,1.383186706
563,0.2815,1.368523949
564,0.282,1.329423265
565,0.2825,1.300097752
566,0.283,1.290322581
567,0.2835,1.290322581
568,0.284,1.285434995
569,0.2845,1.300097752
570,0.285,1.329423265
571,0.2855,1.33431085
572,0.286,1.319648094
573,0.2865,1.304985337
574,0.287,1.290322581
575,0.2875,1.260997067
576,0.288,1.241446725
577,0.2885,1.231671554
578,0.289,1.226783969
579,0.2895,1.275659824
580,0.29,1.319648094
581,0.2905,1.304985337
582,0.291,1.256109482
583,0.2915,1.212121212
584,0.292,1.187683284
585,0.2925,1.19257087
586,0.293,1.197458456
587,0.2935,1.182795699
588,0.294,1.197458456
589,0.2945,1.23655914
590,0.295,1.265884653
591,0.2955,1.265884653
592,0.296,1.260997067
593,0.2965,1.265884653
594,0.297,1.275659824
595,0.2975,1.275659824
596,0.298,1.275659824
597,0.2985,1.285434995
598,0.299,1.295210166
599,0.2995,1.275659824
600,0.3,1.246334311
601,0.3005,1.226783969
602,0.301,1.221896383
603,0.3015,1.217008798
604,0.302,1.187683284
605,0.3025,1.153470186
606,0.303,1.197458456
607,0.3035,1.256109482
608,0.304,1.28054741
609,0.3045,1.290322581
610,0.305,1.275659824
611,0.3055,1.246334311
612,0.306,1.231671554
613,0.3065,1.231671554
614,0.307,1.207233627
615,0.3075,1.187683284
616,0.308,1.187683284
617,0.3085,1.187683284
618,0.309,1.158357771
619,0.3095,1.114369501
620,0.31,1.080156403
621,0.3105,1.089931574
622,0.311,1.133919844
623,0.3115,1.177908113
624,0.312,1.207233627
625,0.3125,1.217008798
626,0.313,1.212121212
627,0.3135,1.207233627
628,0.314,1.217008798
629,0.3145,1.23655914
630,0.315,1.241446725
631,0.3155,1.23655914
632,0.316,1.221896383
633,0.3165,1.221896383
634,0.317,1.212121212
635,0.3175,1.187683284
636,0.318,1.202346041
637,0.3185,1.212121212
638,0.319,1.197458456
639,0.3195,1.168132942
640,0.32,1.133919844
641,0.3205,1.109481916
642,0.321,1.124144673
643,0.3215,1.153470186
644,0.322,1.177908113
645,0.3225,1.202346041
646,0.323,1.241446725
647,0.3235,1.275659824
648,0.324,1.324535679
649,0.3245,1.373411535
650,0.325,1.412512219
651,0.3255,1.436950147
652,0.326,1.441837732
653,0.3265,1.441837732
654,0.327,1.427174976
655,0.3275,1.388074291
656,0.328,1.33431085
657,0.3285,1.319648094
658,0.329,1.319648094
659,0.3295,1.314760508
660,0.33,1.358748778
661,0.3305,1.397849462
662,0.331,1.388074291
663,0.3315,1.373411535
664,0.332,1.363636364
665,0.3325,1.324535679
666,0.333,1.285434995
667,0.3335,1.246334311
668,0.334,1.202346041
669,0.3345,1.187683284
670,0.335,1.212121212
671,0.3355,1.23655914
672,0.336,1.231671554
673,0.3365,1.202346041
674,0.337,1.177908113
675,0.3375,1.202346041
676,0.338,1.256109482
677,0.3385,1.28054741
678,0.339,1.260997067
679,0.3395,1.231671554
680,0.34,1.19257087
681,0.3405,1.173020528
682,0.341,1.177908113
683,0.3415,1.187683284
684,0.342,1.197458456
685,0.3425,1.207233627
686,0.343,1.207233627
687,0.3435,1.231671554
688,0.344,1.241446725
689,0.3445,1.217008798
690,0.345,1.217008798
691,0.3455,1.231671554
692,0.346,1.241446725
693,0.3465,1.256109482
694,0.347,1.275659824
695,0.3475,1.28054741
696,0.348,1.300097752
697,0.3485,1.319648094
698,0.349,1.314760508
699,0.3495,1.300097752
700,0.35,1.290322581
701,0.3505,1.275659824
702,0.351,1.256109482
703,0.3515,1.251221896
704,0.352,1.260997067
705,0.3525,1.28054741
706,0.353,1.304985337
707,0.3535,1.319648094
708,0.354,1.304985337
709,0.3545,1.265884653
710,0.355,1.226783969
711,0.3555,1.217008798
712,0.356,1.197458456
713,0.3565,1.168132942
714,0.357,1.19257087
715,0.3575,1.221896383
716,0.358,1.207233627
717,0.3585,1.19257087
718,0.359,1.168132942
719,0.3595,1.124144673
720,0.36,1.10459433
721,0.3605,1.109481916
722,0.361,1.114369501
723,0.3615,1.133919844
724,0.362,1.173020528
725,0.3625,1.207233627
726,0.363,1.207233627
727,0.3635,1.197458456
728,0.364,1.19257087
